num_factura,fecha_venta,producto,vendedor,cliente,cantidad
8061-77605257,2022-10-10,65,62,2240,79
8060-43211016,2021-11-13,2,53,301,39
9287-07102718,2023-01-26,82,31,910,52
4354-42230801,2021-11-27,61,10,2244,112
9664-17734334,2021-11-23,93,32,277,189
2405-01542629,2021-11-17,2,20,580,187
3016-36344907,2023-08-24,2,6,1170,112
8454-88551668,2023-06-26,56,3,591,107
9218-56796234,2022-05-16,86,2,2263,149
9799-03014495,2023-06-02,19,19,827,182
0720-56109667,2023-03-31,111,14,1702,87
7420-05709274,2022-12-29,39,51,860,147
8141-28425323,2023-01-02,51,28,1590,114
0470-06892650,2023-08-26,18,1,1464,52
4380-28738548,2021-01-19,2,40,2386,87
0527-60321821,2020-12-07,64,35,538,101
7818-02887752,2023-01-03,21,8,1578,161
1003-49577340,2021-05-19,97,37,227,173
2487-80845696,2022-05-09,112,12,1932,58
0549-59682216,2021-09-18,117,11,2402,149
0197-78311368,2021-07-14,3,5,1217,193
4180-59226752,2021-05-03,98,1,538,67
2549-60260733,2021-01-16,32,33,1778,132
4342-55702357,2022-08-30,90,22,1017,19
4895-01565295,2021-11-15,50,32,223,162
6703-47682709,2022-06-01,62,56,1401,94
1682-46997406,2021-11-16,116,5,1314,166
5821-35604784,2022-06-13,86,39,1445,68
6685-71952327,2021-05-30,27,17,760,27
1597-54105160,2020-11-22,112,32,1189,91
6946-89918952,2023-07-10,38,18,1078,164
8793-73355142,2023-04-04,63,18,316,17
8076-51480472,2022-08-07,91,44,1036,90
4850-51112205,2020-12-18,80,15,2167,184
7648-81645563,2023-07-01,19,46,1934,156
3649-20379986,2022-01-13,94,18,733,5
7810-14133132,2022-11-10,110,42,1921,171
0929-62625984,2023-03-11,54,35,731,106
1475-61875186,2021-03-10,29,37,513,121
6653-01568484,2022-04-27,65,64,649,60
8511-74040777,2021-10-09,52,25,259,142
9872-15889964,2022-07-15,43,36,2486,29
8795-33016997,2023-08-16,94,37,661,82
2523-30526675,2022-10-22,8,3,2124,16
7828-45036106,2020-11-06,64,16,1255,27
0080-36404808,2020-11-10,62,34,1386,54
4793-51657914,2023-02-25,66,2,956,57
4718-19444217,2022-05-03,48,24,133,121
1600-41439794,2023-07-16,49,65,1888,87
4814-37574118,2021-03-25,22,59,871,37
4004-28969543,2021-10-30,43,12,1980,181
5350-03789927,2021-02-12,87,37,849,117
3627-31060764,2023-08-21,15,11,1892,41
4928-84474975,2022-03-17,55,35,1410,177
0235-92120774,2022-07-16,102,18,2098,187
8763-70518183,2021-01-25,87,35,560,36
8333-89344915,2021-08-07,12,21,2202,130
3542-26060882,2021-12-02,91,51,514,158
3994-61992741,2021-07-25,24,22,815,171
3822-84006528,2022-08-13,8,41,1414,180
9811-09143618,2021-09-23,60,34,518,184
2211-18917202,2022-10-07,67,39,1416,4
2513-97085819,2023-07-24,99,29,288,131
8879-03017750,2022-07-25,3,34,1159,76
4771-59925497,2022-10-01,43,60,1220,117
4381-95979510,2020-10-16,89,6,1981,63
0021-33171274,2020-09-29,80,53,535,25
9244-77838376,2021-10-31,60,7,104,184
6046-80548932,2022-03-18,116,39,692,129
2527-55324391,2023-06-19,109,36,1179,71
8409-09419705,2020-12-25,18,24,966,40
4312-51024645,2022-09-27,10,43,274,189
9320-00148953,2022-10-21,98,41,2353,85
9434-09074442,2020-10-19,30,60,255,114
3400-97642497,2022-12-01,32,40,1574,181
8878-81942221,2021-10-21,100,57,1470,18
5250-28520407,2023-07-14,61,47,105,156
7389-34522903,2023-03-10,28,61,1462,184
6017-56524067,2022-07-06,37,63,732,128
7942-11928944,2021-07-16,106,6,2185,93
7866-90624391,2021-05-20,44,59,16,128
1216-74294332,2022-07-09,48,44,662,125
4120-27884733,2022-03-31,54,37,495,184
4066-62341361,2021-02-15,63,59,1816,25
6920-66623399,2023-06-15,23,11,1145,54
9096-87960697,2022-08-24,33,40,291,36
8134-50397492,2020-12-28,61,14,1908,161
0311-67034239,2022-01-06,99,58,2124,7
3303-41418243,2022-02-13,79,32,475,7
2671-14975084,2022-02-18,31,7,2484,120
2366-91893734,2020-11-05,31,59,2129,102
8493-25578633,2023-03-11,12,11,983,127
6747-21313285,2021-02-04,20,20,955,71
7276-03145024,2021-12-25,65,63,1938,51
5561-77058858,2023-01-31,23,24,1308,187
5878-30282910,2021-12-04,40,48,2410,172
2834-16302314,2023-02-10,77,22,78,38
6851-11769548,2022-03-16,32,12,1987,31
8843-24088917,2021-09-23,58,65,728,31
9280-22825636,2021-01-28,92,19,811,148
3073-86278613,2020-10-30,54,19,1212,115
1997-47862522,2022-05-10,1,32,793,149
1656-21814899,2023-09-16,73,1,164,96
8839-89283299,2023-07-17,115,16,247,28
6758-58716151,2022-09-20,7,15,1874,112
9933-01283950,2022-09-04,23,43,665,20
3269-48166298,2023-04-08,38,17,424,144
0787-52815352,2022-06-07,49,34,533,60
0003-74829090,2022-12-12,84,3,484,92
7486-41536797,2023-03-21,38,53,2123,95
6603-45247911,2020-09-30,64,53,240,169
9324-46427543,2021-05-28,30,44,648,82
2924-26039826,2023-07-24,103,56,26,164
0097-73761947,2021-04-08,24,54,324,4
0986-60595776,2020-10-14,89,39,1734,149
8052-29247620,2022-06-14,64,46,1773,39
6397-86035149,2022-01-30,92,46,154,54
5272-27715812,2023-03-28,66,2,24,22
0617-04766695,2020-11-24,61,11,969,126
1493-62032532,2023-05-24,6,58,473,140
1150-09672378,2021-07-31,60,49,1455,156
3441-33338363,2022-11-08,43,2,369,59
5841-26827605,2021-09-26,88,45,2452,20
3460-38603876,2021-05-22,69,24,1114,132
9982-38250251,2022-01-01,73,46,31,175
8470-75744526,2021-09-16,6,20,1857,152
5377-42168259,2023-07-14,7,57,1245,20
3473-86511726,2022-12-23,63,44,2229,59
0499-17077630,2021-01-15,52,26,559,199
2632-97705346,2021-11-13,32,45,812,165
8839-85903131,2022-04-06,119,59,128,45
8722-21478939,2023-04-02,111,11,881,151
7689-56978355,2022-01-02,11,62,591,21
0681-99770802,2022-02-21,74,50,913,35
8843-07753802,2021-01-14,100,19,882,26
5964-89563375,2021-02-04,35,27,2050,40
0501-85387533,2022-05-02,118,62,585,36
8449-32864107,2023-09-17,1,9,1204,89
6866-03567494,2022-04-22,116,29,558,132
6898-44714231,2023-08-04,107,13,614,47
9748-38132935,2021-02-05,7,26,882,18
8731-90149797,2021-09-08,112,27,1214,194
9375-76519842,2022-09-27,33,41,1295,61
6305-80411892,2020-12-24,19,25,328,135
8317-82646613,2021-02-28,48,25,1343,142
0762-01996091,2022-06-27,73,37,1994,197
4402-02911366,2021-09-25,63,8,1317,160
4250-17632577,2020-10-25,33,6,2064,183
8916-84622548,2022-01-16,68,47,2230,88
6236-27636355,2022-01-20,75,29,2184,187
9568-97089156,2020-11-23,119,12,188,82
8425-81467405,2021-03-16,36,33,1544,147
7247-10771284,2023-06-20,30,26,2193,57
2878-67647749,2023-07-07,107,17,1046,127
1260-01674449,2023-02-21,56,21,2169,15
0623-66531807,2021-02-17,81,7,2456,60
7915-05682345,2022-04-27,20,42,1397,145
3581-74357775,2023-03-09,66,62,2373,78
5279-45123665,2021-12-12,50,65,456,77
5854-75126184,2021-01-07,54,21,1954,3
7287-31276157,2021-01-24,67,23,1612,106
6020-84375922,2021-10-09,11,31,1555,10
9536-45481913,2021-06-27,79,29,1815,75
4385-28439796,2022-08-28,110,56,521,73
9825-32024280,2021-11-28,56,16,71,110
3840-28783183,2022-08-02,25,60,883,115
2663-32336248,2022-07-26,76,15,312,144
4041-44919284,2021-09-17,70,32,914,141
8751-06247801,2022-04-10,111,57,1479,155
6632-13434231,2023-05-04,67,57,514,144
0680-84117899,2021-12-05,108,3,1691,65
2585-10227171,2021-04-17,6,40,1660,42
7258-69980222,2021-04-21,41,60,106,124
8952-87277858,2020-09-17,112,16,1458,50
5479-63698500,2022-12-15,111,52,1995,23
7278-88722840,2021-03-24,32,56,1595,106
9482-02733392,2021-09-08,22,9,1892,188
5247-34336352,2023-03-15,104,43,1090,127
6726-34172144,2023-01-26,23,59,1866,55
6748-39879614,2022-03-29,112,20,224,74
7891-49960866,2021-10-30,28,27,135,141
4163-95919271,2021-04-22,45,32,5,77
2803-91440734,2022-10-23,44,43,643,174
1704-18095797,2022-02-06,116,45,2420,103
0114-70282962,2022-06-08,108,54,1748,195
5755-19811623,2023-01-04,3,61,1976,31
7914-59030376,2022-08-19,79,57,1161,106
8441-31884905,2022-05-13,68,44,1475,47
2296-27466374,2023-06-27,45,57,1713,64
2312-50776389,2022-06-26,115,38,2186,108
9258-50507389,2023-08-10,68,19,1370,105
3579-01235074,2022-11-08,55,40,1368,140
7297-34124846,2021-04-19,43,14,2159,154
1005-43955284,2022-04-21,48,31,181,86
1576-00989124,2022-10-17,49,15,1074,25
1827-63893169,2021-11-05,112,56,1073,138
0982-76982260,2020-10-08,20,57,962,140
1612-29205018,2023-02-27,82,55,464,73
9476-60194014,2021-03-09,77,64,1380,140
5772-56859460,2022-04-29,25,47,430,199
2577-65613359,2022-02-16,44,23,2266,117
4148-14453648,2022-10-12,96,8,2083,54
6179-55507058,2023-02-01,12,64,1565,95
3353-23406196,2021-03-31,68,17,12,177
3194-11420039,2022-08-23,99,2,680,171
7678-11615913,2021-11-23,90,9,1287,21
9247-98921488,2022-04-02,57,40,255,161
1091-67295113,2022-08-05,93,11,713,184
9506-07388135,2021-03-01,81,41,1639,40
4629-93979053,2022-07-18,42,36,2482,105
3491-12094709,2023-09-08,119,4,1280,146
1178-92275150,2022-10-16,14,25,940,182
2994-81535287,2022-04-09,109,23,921,159
7774-08704335,2023-08-12,115,25,887,41
6734-39686137,2022-09-02,4,2,1430,171
5801-36019476,2021-09-05,47,6,1625,132
7311-55451689,2022-05-02,94,60,24,198
2592-92047180,2021-02-22,47,57,1006,183
7823-53161994,2022-10-10,25,32,1739,160
9375-86279003,2020-10-09,90,61,560,57
4015-17731009,2023-08-09,49,6,1385,53
9225-26878406,2022-04-05,11,48,278,199
6344-20790812,2021-10-27,1,15,2421,66
5673-54412996,2021-04-17,69,23,1995,151
2253-77573651,2021-04-29,31,20,555,185
0753-49586565,2022-08-31,114,20,2256,22
0472-52203019,2020-09-20,28,20,741,70
7481-49653744,2021-05-14,104,45,395,53
3047-57686454,2022-05-18,43,4,227,91
7473-00067419,2023-04-13,93,45,968,66
9877-76324056,2021-11-09,77,10,2251,78
7569-08985249,2022-02-20,84,6,1997,149
1172-95431861,2023-05-25,44,6,804,12
4284-19206690,2023-08-01,12,49,1587,128
0316-45082770,2022-04-28,50,28,1247,189
8794-86974861,2023-05-08,42,57,1758,181
9831-61005068,2021-04-04,98,8,1761,26
4307-67328443,2023-06-30,86,59,1139,77
0805-43569500,2022-09-20,109,9,1648,133
4837-08056639,2023-09-05,6,55,914,181
1036-03425339,2022-11-03,108,44,1776,69
6715-93287570,2022-10-13,65,39,898,31
1916-58646031,2022-02-03,87,62,18,39
7567-46876260,2020-12-25,52,57,1665,103
6945-34886500,2022-12-19,29,22,2361,197
9342-52964075,2021-04-27,14,15,113,180
7838-69113354,2022-03-23,40,64,520,134
6840-57071093,2022-01-13,91,13,808,154
5808-15580558,2022-09-07,103,46,2117,18
0331-68588071,2020-12-28,24,5,665,169
8668-83883538,2020-12-30,16,59,1323,124
1954-18245650,2021-02-19,40,35,488,77
2004-63105816,2021-08-30,72,45,1671,11
1784-71271085,2021-09-27,80,19,1069,148
4860-50846957,2022-06-21,39,8,319,100
6686-92749555,2021-11-10,67,46,2066,17
1405-93726901,2022-01-10,90,65,188,77
4694-92993302,2023-01-14,16,27,2393,167
1776-68357011,2021-05-19,119,46,1334,78
5965-02166866,2021-02-15,41,55,594,78
2692-15785164,2023-03-06,86,6,1495,153
4658-43925504,2021-10-07,50,48,1078,69
6393-08468920,2021-09-18,11,24,1210,52
2692-23054964,2021-05-21,102,61,779,110
3595-55019462,2022-12-01,119,8,1752,77
6127-69893562,2022-10-25,73,23,429,37
7029-37880915,2021-05-07,46,30,12,133
5705-29551065,2021-02-05,5,12,219,150
4193-72834558,2023-02-02,105,18,2452,44
0381-27327662,2021-11-10,106,1,1684,145
2957-01127122,2023-04-20,63,16,1163,46
3383-97601555,2022-05-30,81,58,248,160
1934-44191185,2022-03-28,30,27,331,90
7228-79382911,2022-08-18,96,23,2237,42
9937-03275409,2022-01-31,43,1,1316,24
8504-56480781,2023-05-14,83,14,2218,182
7267-14844232,2022-08-30,84,52,1931,83
9836-77917823,2021-10-21,27,31,334,36
1147-79700242,2022-05-01,53,37,744,23
1046-88957323,2022-04-13,43,50,1087,98
5460-52353298,2023-03-10,19,55,2072,42
6756-63931901,2022-01-04,68,13,13,2
8632-66073681,2023-08-21,109,65,694,9
7507-65217252,2021-11-03,20,24,1360,125
6264-52164937,2022-12-17,73,49,2279,197
4695-17668968,2021-02-05,55,53,2125,38
9468-00041169,2023-08-31,26,55,1043,125
4099-00904584,2023-03-02,73,18,2232,88
8269-29044046,2022-05-28,3,60,30,45
0297-07161542,2023-01-29,35,32,1499,17
2195-49539212,2021-05-31,11,18,2423,152
4484-23510509,2022-03-15,48,37,834,85
1311-38434427,2021-08-21,112,3,843,110
3338-58508089,2022-01-14,46,25,847,15
8138-54520275,2021-05-23,73,24,124,28
0942-67201564,2020-10-31,16,23,1480,82
1017-34415123,2020-11-24,109,40,643,113
9263-55763731,2022-05-07,15,23,459,179
8444-49638547,2022-12-24,47,29,1386,14
4582-07442465,2020-10-11,49,46,2424,107
2525-91640300,2023-05-29,57,53,388,48
0708-92979115,2023-09-03,41,27,1751,58
0893-98281820,2020-11-05,15,29,2173,7
6329-12353155,2020-11-18,26,10,1119,149
9853-94411235,2021-05-11,110,42,1401,139
0798-26907289,2022-02-10,83,11,1641,113
3315-17052818,2021-07-01,94,44,1958,113
7221-08021663,2022-11-24,99,58,1600,174
1223-94436968,2023-07-22,56,11,606,128
0081-60701584,2023-09-05,15,27,447,186
3538-94765100,2023-01-27,8,5,1837,163
8244-22955839,2022-07-05,71,6,244,154
5658-05474611,2021-10-19,41,11,748,20
6462-26941687,2021-09-07,53,2,2401,27
2305-95872018,2021-08-23,101,39,1674,149
0781-02260353,2022-01-30,31,11,1631,165
0508-25539153,2022-03-26,47,53,1026,52
2917-89972240,2021-01-07,26,43,1963,118
0506-35027894,2021-06-22,79,51,1501,65
0715-84737298,2022-08-15,83,1,2347,178
9524-41875528,2023-09-07,52,6,1444,106
8784-72889832,2022-07-13,109,10,1319,154
8181-32642040,2020-11-27,74,39,635,115
0039-49069384,2022-08-20,89,42,1190,74
5781-30791140,2022-05-09,113,21,1858,40
2421-26386277,2022-08-15,117,29,969,138
7202-53428586,2021-01-20,13,6,933,187
5504-15667812,2022-11-21,99,48,1483,108
6651-59356272,2023-04-14,6,19,718,131
7319-38949488,2021-12-30,78,3,1873,188
3492-27989916,2022-05-20,44,47,1925,168
9321-15535174,2023-09-03,112,33,847,57
0433-88016781,2021-08-18,28,27,418,40
9993-31744113,2023-06-17,32,46,970,173
9179-18446129,2021-12-27,114,50,1896,149
0034-82222302,2021-05-25,80,40,2468,199
0513-35624269,2021-03-31,102,42,2195,33
0612-61795616,2022-01-12,5,19,1015,21
8151-86319408,2022-05-25,39,7,1817,151
9431-46481893,2022-07-07,101,7,2277,199
6555-71053315,2021-05-04,51,64,1310,20
4725-21785086,2021-09-24,73,50,488,133
1047-38406376,2020-10-07,79,36,1484,27
5851-38562171,2023-05-01,64,3,311,31
2611-98355663,2022-11-08,20,52,2325,103
6383-28772133,2022-06-22,10,27,1013,60
9820-23773065,2023-07-02,39,30,2191,132
4478-70901243,2020-11-06,53,39,223,9
0740-08534626,2020-10-19,75,4,152,99
1778-80459218,2023-04-03,57,6,1197,179
9774-97413691,2023-04-13,32,56,1602,82
7705-50086216,2022-10-19,60,18,2351,184
7405-43410208,2020-12-31,11,64,1499,121
1844-31848550,2021-06-16,107,2,975,196
8122-31462314,2021-01-05,111,6,2429,50
2682-33161657,2021-01-26,8,34,910,127
2584-87813591,2021-06-16,63,52,1026,151
2111-70444853,2023-07-19,105,34,1793,115
8374-94149652,2021-09-17,59,9,375,13
8379-59577891,2023-09-01,107,22,1928,154
7546-57608673,2021-01-15,115,30,1986,57
5629-01103002,2021-11-04,102,2,1850,102
8994-27197384,2021-07-12,81,27,1557,66
1376-61301614,2023-08-12,15,42,1941,176
7144-93147576,2022-01-24,7,64,227,55
3653-40826643,2023-08-16,108,2,2221,32
3837-60028160,2021-10-16,38,16,348,71
9376-46184247,2021-04-08,71,14,1995,61
5518-85913132,2023-02-03,84,61,686,106
8596-45065347,2022-10-07,18,39,600,168
5170-57021280,2022-03-09,28,11,1180,174
4558-57481999,2023-06-27,14,12,1552,62
8910-94971151,2022-01-13,8,61,362,142
7145-05647046,2021-06-02,114,36,955,146
6536-03270743,2023-03-09,114,26,126,195
7816-83014062,2021-02-15,37,18,248,181
8970-93481808,2022-02-24,98,26,2056,136
0490-01110086,2020-10-11,16,24,2432,83
1269-81180016,2021-09-28,39,59,2197,60
1213-08172525,2021-03-27,19,48,2021,179
8248-18983967,2020-12-29,96,18,1510,186
9883-65177954,2022-12-04,110,51,2114,187
9248-69639472,2023-06-08,39,48,449,181
3601-77767499,2022-10-20,104,24,1166,174
3064-35204491,2021-11-25,102,42,2129,92
0709-25220910,2021-03-25,67,34,809,147
0142-63162600,2023-04-26,55,58,1309,90
0893-62168189,2022-09-08,19,58,1720,157
9880-94399385,2022-10-16,84,45,2201,23
6661-32789546,2021-12-25,13,13,2090,153
1369-27062501,2022-09-21,21,39,220,159
0033-66937530,2022-02-12,52,30,729,51
5429-64629730,2020-11-08,23,61,739,152
5494-19780425,2023-07-29,17,64,691,9
5833-25847265,2023-06-21,7,51,1018,191
9794-19080913,2023-02-19,4,31,2028,114
0844-39286476,2022-04-14,18,33,1793,179
6164-73061376,2022-12-25,47,49,1188,193
9603-39375247,2020-12-04,51,21,313,39
0100-36057075,2020-12-25,38,27,30,198
1126-02506405,2022-09-02,89,37,1294,175
9733-98826935,2020-12-28,100,6,1768,195
9616-98875078,2021-04-20,78,9,2333,143
0224-72547889,2022-06-01,65,11,678,132
6668-35619576,2021-04-23,45,64,865,122
0658-24518201,2022-09-24,17,18,857,65
9785-90134798,2021-05-25,44,29,977,64
5358-07867875,2021-05-25,98,43,701,47
5213-94874317,2023-04-30,116,60,239,48
2403-27126698,2021-12-13,78,10,2339,51
0821-63600601,2021-03-15,31,14,331,100
4654-96650029,2022-09-17,51,39,1896,36
2202-31064276,2020-11-18,119,25,242,188
8059-80959685,2020-12-31,36,30,349,82
2900-60243793,2022-01-10,1,20,794,87
6982-99222674,2022-12-10,36,39,141,29
4312-80759731,2021-05-21,86,26,854,196
4553-74355406,2022-12-23,18,57,1443,110
0839-85548623,2023-04-13,10,57,1735,176
5591-88433816,2023-03-01,98,36,445,68
9436-41528557,2022-08-28,66,32,423,127
1287-26684620,2022-06-26,27,65,1778,10
8910-07683887,2023-03-14,47,35,96,153
2233-41046246,2023-09-11,63,41,2402,94
8443-51960137,2023-06-18,86,51,1149,12
3210-84787994,2022-06-29,23,23,2277,3
9471-49339645,2022-03-17,82,34,864,26
1016-31163669,2022-08-10,26,15,1743,101
3566-94178385,2021-09-01,99,65,670,37
0725-68340765,2023-08-27,6,12,1182,99
2980-98168941,2020-09-17,48,46,1101,68
9411-48924872,2021-10-17,45,8,2200,121
1375-87217314,2022-06-07,73,5,2364,74
4999-84891713,2021-09-29,82,7,1747,23
9774-04773596,2020-11-23,85,37,183,131
6115-97418712,2021-03-25,8,63,1046,53
0766-76084799,2021-09-15,57,27,2005,135
3578-23987368,2023-08-31,112,23,1772,126
4933-31043674,2023-04-19,94,41,1766,94
7037-15964766,2022-09-17,34,34,1031,165
0217-52437056,2022-04-18,8,39,1562,124
2873-44000242,2022-06-03,10,6,2191,144
1383-47422689,2020-10-02,22,22,2444,168
4701-73197653,2023-01-29,67,29,314,16
0742-00692566,2022-09-14,5,59,699,179
4686-66638734,2022-04-07,84,53,2010,153
8339-41953217,2023-02-03,115,39,1093,167
8277-51652073,2023-01-12,33,20,219,21
3139-07681619,2022-01-24,84,46,847,71
5370-95022198,2021-10-21,23,2,487,120
0892-09004294,2023-02-12,91,64,1315,19
6391-05337553,2021-01-07,88,34,1768,173
2630-78380241,2022-06-26,5,59,1205,126
8949-10593383,2022-10-23,72,4,577,80
2603-20195531,2021-05-25,10,14,1401,141
1280-84905384,2022-09-19,35,7,339,75
0724-89502587,2023-05-06,60,14,124,56
3066-15953070,2021-12-22,112,10,1950,169
0044-37712783,2020-09-27,81,24,616,2
4111-38406546,2023-05-13,113,46,858,159
4296-18166841,2021-01-27,24,49,1148,172
0805-58025383,2021-01-14,80,29,1483,185
1833-91814633,2022-07-14,4,54,1561,35
0515-16874813,2021-06-03,84,42,335,200
9806-63280349,2020-11-09,11,58,796,24
2916-29982122,2021-11-23,22,64,1155,173
5920-31436431,2023-03-01,20,49,2066,10
1848-65150205,2021-07-31,89,54,2204,179
0858-79741825,2021-05-28,89,38,1617,100
3055-47812234,2022-04-30,64,59,2470,1
2933-68827302,2022-05-05,55,19,2283,87
9842-30892334,2022-03-23,60,17,250,61
8079-60381816,2021-07-18,44,36,1934,69
2071-53579843,2020-10-29,109,33,1176,58
9227-59871333,2023-05-23,36,53,19,24
9420-74412124,2023-06-24,25,60,2052,7
1861-16715143,2020-12-20,78,10,2256,52
0505-53709673,2023-09-05,73,17,1836,25
6491-80096978,2023-09-01,97,26,459,137
0469-17189085,2023-08-12,71,61,1164,138
1910-49883367,2022-12-13,88,37,967,10
4261-14013213,2022-11-12,54,51,1472,92
3067-97457670,2023-07-03,6,25,365,73
2021-64751490,2022-05-09,48,8,2415,93
4039-72374239,2021-01-22,115,24,941,49
5877-32569408,2021-03-26,42,6,481,183
6844-20929278,2022-11-25,113,21,629,35
2508-00988217,2022-09-07,102,48,2154,129
4190-21482793,2021-08-10,3,1,1369,132
7794-14867612,2022-08-06,15,14,800,70
8927-04456077,2021-03-13,95,49,1527,134
3036-16334166,2021-11-04,19,28,1096,172
5953-31889185,2022-08-13,87,2,1427,148
5363-75761398,2022-11-04,32,27,1716,186
9044-54613158,2021-12-16,118,43,2070,117
5606-64778168,2023-04-17,34,62,2052,38
5228-46925221,2021-09-26,18,52,1949,80
1572-02006331,2022-09-17,86,48,681,101
5684-49585168,2020-10-28,100,18,2054,89
4203-51548450,2022-05-10,102,11,801,199
1354-04494876,2021-04-13,19,21,2252,140
7919-79698571,2021-05-12,100,50,890,104
0306-72838508,2023-04-24,79,47,1222,29
3123-43590046,2021-09-13,89,37,310,137
7106-93622003,2021-11-23,43,10,823,8
9400-86089271,2021-12-12,19,17,2014,159
5330-48028188,2021-02-06,96,17,161,144
7806-37243275,2021-04-01,36,61,1525,39
3189-20064182,2022-05-04,16,6,1627,13
7678-47729328,2020-12-15,73,29,578,10
0162-01068319,2021-03-07,106,41,280,50
3791-94292901,2023-03-26,13,14,2156,197
7538-68570237,2021-11-29,116,41,1159,187
5684-64011251,2021-01-13,40,28,454,57
9550-33070896,2022-12-18,101,25,1251,123
9927-38422569,2021-07-12,60,43,521,19
0856-48728901,2021-11-01,92,63,1623,22
9968-06590080,2021-04-16,67,50,1169,16
8646-96388367,2023-03-22,81,50,817,90
7195-74986581,2021-10-15,44,29,1851,104
0633-78337523,2022-10-26,88,58,954,68
4494-27178328,2020-10-19,85,34,1929,176
4099-74316004,2023-04-01,61,8,192,65
6334-45264638,2021-08-14,6,16,1747,189
9411-41745786,2021-11-11,42,56,1917,186
1829-48362875,2022-11-03,82,35,1793,13
5009-19662396,2022-04-22,53,60,1538,47
0213-96255604,2022-08-05,47,34,721,63
1818-78960031,2022-04-14,48,24,916,104
5774-23199517,2023-08-03,99,56,637,151
4212-93756499,2021-12-27,119,22,2332,140
1539-50832798,2021-07-31,40,62,2477,185
5372-49275491,2021-02-05,40,43,2043,55
5128-49198100,2022-12-21,69,28,630,14
1983-90443525,2022-04-01,109,21,1152,19
2205-00323956,2021-05-06,20,23,2189,190
7735-38902662,2020-11-16,41,9,593,29
3994-31618495,2022-06-23,49,55,971,92
9220-84261282,2020-12-03,100,58,256,178
2195-51018940,2021-03-03,8,5,2177,24
8817-10438639,2023-06-01,21,36,651,53
2305-76215637,2021-04-23,19,6,1074,15
3700-48050399,2022-04-19,61,36,318,188
7170-81391112,2022-02-21,94,23,1132,162
6546-91390621,2020-11-04,26,14,2142,64
8567-29802120,2023-06-08,30,3,2126,114
9739-88195495,2022-12-01,18,30,718,3
4281-17095772,2023-03-03,59,16,827,193
2820-66870984,2020-10-21,15,16,2426,179
8409-82535865,2022-05-06,100,64,1135,42
0686-99335726,2021-05-24,2,65,774,197
2497-06054638,2022-11-03,101,10,161,84
0910-74059661,2023-01-28,48,32,1789,70
1069-26458430,2022-10-01,20,58,2169,44
0305-59741991,2022-11-05,90,32,1630,36
3105-22501760,2020-12-07,19,54,805,64
9371-63142608,2023-01-06,58,11,2097,1
6067-44146024,2021-10-01,59,5,1396,57
6877-43250020,2021-06-10,105,1,348,133
0062-13365567,2023-06-25,22,18,712,79
2179-88141825,2020-10-30,108,58,1385,83
3732-79879559,2023-07-06,71,11,1481,181
5155-18011029,2022-03-14,119,58,35,192
2092-95203345,2022-02-06,20,58,1967,176
3925-28687926,2022-04-16,34,27,684,157
4166-58450445,2021-12-02,8,28,1719,158
3009-20792661,2021-07-25,17,1,1974,49
4294-57997607,2023-01-21,15,22,1359,187
5647-34069712,2021-11-12,80,33,1360,176
3287-48420073,2020-12-03,91,51,2283,140
9792-02519441,2022-06-25,56,1,1271,160
4016-20254026,2021-04-07,89,42,770,70
4322-39258948,2022-04-27,81,35,2426,164
9165-83709603,2022-01-17,94,34,2187,118
0083-56283297,2022-12-25,49,45,355,74
2519-62914436,2021-11-02,108,58,505,120
1185-17927497,2021-08-13,37,43,1639,72
8079-02674989,2020-10-04,56,47,2375,18
5181-85459114,2020-10-08,79,61,2176,5
0706-51946386,2023-04-30,49,59,2110,5
9492-91740322,2021-10-27,66,45,2456,38
4604-87592113,2023-01-04,64,54,2265,131
4498-57041048,2022-12-03,63,44,1821,25
7421-95946178,2021-02-23,4,7,2137,195
2428-87726388,2021-07-18,41,5,538,101
8344-21614413,2023-09-17,75,49,1863,39
9003-95435663,2023-08-29,30,2,1105,6
0969-56014267,2021-01-11,112,22,476,59
9280-95256564,2021-01-21,24,35,1295,55
6962-31395562,2022-05-14,48,42,1702,182
8648-74975905,2021-02-09,90,8,237,170
6684-18018693,2021-02-24,79,11,2086,77
2547-95031600,2022-12-25,87,5,2026,176
0318-53451369,2023-02-12,50,9,2012,70
8115-70663880,2022-12-05,29,7,624,197
0691-81840080,2022-03-24,31,60,149,200
3619-17045065,2022-03-29,74,4,1307,88
9914-46269790,2022-01-29,105,16,2435,65
6316-13467702,2023-03-09,99,18,2404,133
2738-88163325,2022-03-08,114,44,1356,18
8367-75237837,2021-09-04,38,18,1025,31
6570-63073407,2023-02-10,42,32,1044,112
3419-89754861,2021-06-07,41,62,301,64
0431-91287328,2022-09-23,101,63,2352,180
5393-24165830,2023-07-10,18,60,1545,164
1646-71644541,2022-08-10,111,53,905,61
0741-71476989,2020-10-15,25,2,2166,155
0325-63587789,2022-08-25,60,37,1776,126
1262-89135182,2022-05-16,41,14,640,105
9602-93791960,2022-09-05,73,27,894,134
9926-58229969,2021-02-08,86,32,1895,196
2680-72207412,2023-07-15,83,8,1797,162
1963-76161625,2021-09-15,16,30,362,47
4597-39843792,2022-09-02,87,50,2308,128
3189-96080671,2020-10-18,119,38,420,120
0425-46312308,2021-07-14,107,35,1765,121
9926-81417533,2022-04-29,42,47,972,94
8968-70294444,2022-03-27,69,49,2012,51
